country,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,year,region
India,4.31500005722046,0.792221248149872,0.754372596740723,0.455427616834641,0.469987004995346,0.0922268852591515,0.231538489460945,2017,South Asia
Mauritania,4.29199981689453,0.648457288742065,1.2720308303833,0.285349279642105,0.0960980430245399,0.13695700466632801,0.201870024204254,2017,Sub-Saharan Africa
Congo (Brazzaville),4.29099988937378,0.808964252471924,0.832044363021851,0.28995743393898,0.435025870800018,0.0796181336045265,0.120852127671242,2017,Sub-Saharan Africa
Georgia,4.28599977493286,0.950612664222717,0.57061493396759,0.649546980857849,0.309410035610199,0.251666635274887,0.0540088154375553,2017,Commonwealth of Independent States
Congo (Kinshasa),4.28000020980835,0.0921023488044739,1.22902345657349,0.191407024860382,0.235961347818375,0.0602413564920425,0.246455833315849,2017,NA
Mali,4.19000005722046,0.476180493831635,1.28147339820862,0.169365674257278,0.306613743305206,0.104970246553421,0.183354198932648,2017,Sub-Saharan Africa
Ivory Coast,4.17999982833862,0.603048920631409,0.904780030250549,0.0486421696841717,0.447706192731857,0.130061775445938,0.201237469911575,2017,Sub-Saharan Africa
Cambodia,4.16800022125244,0.601765096187592,1.00623834133148,0.429783403873444,0.633375823497772,0.0681059509515762,0.385922968387604,2017,Southeast Asia
Sudan,4.13899993896484,0.65951669216156,1.21400856971741,0.290920823812485,0.0149958552792668,0.089847519993782,0.182317450642586,2017,NA
Ghana,4.11999988555908,0.667224824428558,0.873664736747742,0.295637726783752,0.423026293516159,0.0253363698720932,0.256923943758011,2017,Sub-Saharan Africa
Ukraine,4.09600019454956,0.89465194940567,1.39453756809235,0.575903952121735,0.122974775731564,0.0230294708162546,0.270061463117599,2017,Commonwealth of Independent States
Uganda,4.08099985122681,0.381430715322495,1.12982773780823,0.217632606625557,0.443185955286026,0.057069718837738,0.325766056776047,2017,Sub-Saharan Africa
Burkina Faso,4.03200006484985,0.3502277135849,1.04328000545502,0.215844258666039,0.324367851018906,0.120328105986118,0.250864684581757,2017,Sub-Saharan Africa
Niger,4.02799987792969,0.161925330758095,0.993025004863739,0.26850500702858,0.36365869641304,0.138572946190834,0.228673845529556,2017,Sub-Saharan Africa
Malawi,3.97000002861023,0.233442038297653,0.512568831443787,0.315089583396912,0.466914653778076,0.0727116540074348,0.287170469760895,2017,Sub-Saharan Africa
Chad,3.93600010871887,0.438012987375259,0.953855872154236,0.0411347150802612,0.16234202682972,0.0535818822681904,0.216113850474358,2017,Sub-Saharan Africa
Zimbabwe,3.875,0.375846534967422,1.08309590816498,0.196763753890991,0.336384207010269,0.0953753814101219,0.189143493771553,2017,Sub-Saharan Africa
Lesotho,3.80800008773804,0.521021246910095,1.19009518623352,0,0.390661299228668,0.119094640016556,0.157497271895409,2017,Sub-Saharan Africa
Angola,3.79500007629395,0.858428180217743,1.10441195964813,0.0498686656355858,0,0.0697203353047371,0.097926490008831,2017,NA
Afghanistan,3.79399991035461,0.401477217674255,0.581543326377869,0.180746778845787,0.106179520487785,0.0611578300595284,0.311870932579041,2017,South Asia
Botswana,3.76600003242493,1.12209415435791,1.22155499458313,0.341755509376526,0.505196332931519,0.0985831990838051,0.0993484482169151,2017,Sub-Saharan Africa
Benin,3.65700006484985,0.431085407733917,0.435299843549728,0.209930211305618,0.425962775945663,0.0609290152788162,0.207948461174965,2017,Sub-Saharan Africa
Madagascar,3.64400005340576,0.305808693170547,0.913020372390747,0.375223308801651,0.189196765422821,0.0672319754958153,0.208732530474663,2017,Sub-Saharan Africa
Haiti,3.6029999256134,0.368610262870789,0.640449821949005,0.277321130037308,0.0303698573261499,0.0998721495270729,0.489203780889511,2017,Latin America and Caribbean
Yemen,3.59299993515015,0.591683447360992,0.93538224697113,0.310080915689468,0.249463722109795,0.0567674227058887,0.104125209152699,2017,Middle East and North Africa
South Sudan,3.59100008010864,0.39724862575531,0.601323127746582,0.163486003875732,0.147062435746193,0.116793513298035,0.285670816898346,2017,NA
Liberia,3.53299999237061,0.119041793048382,0.872117936611176,0.229918196797371,0.332881182432175,0.0389482490718365,0.26654988527298,2017,Sub-Saharan Africa
Guinea,3.50699996948242,0.244549930095673,0.791244685649872,0.194129139184952,0.348587512969971,0.110937617719173,0.264815092086792,2017,Sub-Saharan Africa
Togo,3.49499988555908,0.305444717407227,0.431882530450821,0.247105568647385,0.38042613863945,0.0956650152802467,0.196896150708199,2017,Sub-Saharan Africa
Rwanda,3.47099995613098,0.368745893239975,0.945707023143768,0.326424807310104,0.581843852996826,0.455220013856888,0.252756029367447,2017,Sub-Saharan Africa
Syria,3.46199989318848,0.777153134346008,0.396102607250214,0.50053334236145,0.0815394446253777,0.151347130537033,0.493663728237152,2017,NA
Tanzania,3.34899997711182,0.511135876178741,1.04198980331421,0.364509284496307,0.390017777681351,0.0660351067781448,0.354256361722946,2017,Sub-Saharan Africa
Burundi,2.90499997138977,0.091622568666935,0.629793584346771,0.151610791683197,0.0599007532000542,0.0841479450464249,0.204435184597969,2017,Sub-Saharan Africa
Central African Republic,2.69300007820129,0,0,0.0187726859003305,0.270842045545578,0.0565650761127472,0.280876487493515,2017,NA
Finland,7.632,1.305,1.592,0.874,0.681,0.393,0.202,2018,Western Europe
Norway,7.594,1.456,1.582,0.861,0.686,0.34,0.286,2018,Western Europe
Denmark,7.555,1.351,1.59,0.868,0.683,0.408,0.284,2018,Western Europe
Iceland,7.495,1.343,1.644,0.914,0.677,0.138,0.353,2018,Western Europe
Switzerland,7.487,1.42,1.549,0.927,0.66,0.357,0.256,2018,Western Europe
Netherlands,7.441,1.361,1.488,0.878,0.638,0.295,0.333,2018,Western Europe
Canada,7.328,1.33,1.532,0.896,0.653,0.291,0.321,2018,North America and ANZ
New Zealand,7.324,1.268,1.601,0.876,0.669,0.389,0.365,2018,North America and ANZ
Sweden,7.314,1.355,1.501,0.913,0.659,0.383,0.285,2018,Western Europe
Australia,7.272,1.34,1.573,0.91,0.647,0.302,0.361,2018,North America and ANZ
United Kingdom,7.19,1.244,1.433,0.888,0.464,0.082,0.262,2018,Western Europe
Austria,7.139,1.341,1.504,0.891,0.617,0.224,0.242,2018,Western Europe
Costa Rica,7.072,1.01,1.459,0.817,0.632,0.101,0.143,2018,Latin America and Caribbean
Ireland,6.977,1.448,1.583,0.876,0.614,0.306,0.307,2018,Western Europe
Germany,6.965,1.34,1.474,0.861,0.586,0.28,0.273,2018,Western Europe
Belgium,6.927,1.324,1.483,0.894,0.583,0.24,0.188,2018,Western Europe
Luxembourg,6.91,1.576,1.52,0.896,0.632,0.321,0.196,2018,Western Europe
United States,6.886,1.398,1.471,0.819,0.547,0.133,0.291,2018,North America and ANZ
Israel,6.814,1.301,1.559,0.883,0.533,0.272,0.354,2018,Middle East and North Africa
United Arab Emirates,6.774,2.096,0.776,0.67,0.284,NA,0.186,2018,Middle East and North Africa
Czech Republic,6.711,1.233,1.489,0.854,0.543,0.034,0.064,2018,Central and Eastern Europe
Malta,6.627,1.27,1.525,0.884,0.645,0.142,0.376,2018,Western Europe
France,6.489,1.293,1.466,0.908,0.52,0.176,0.098,2018,Western Europe
Mexico,6.488,1.038,1.252,0.761,0.479,0.095,0.069,2018,Latin America and Caribbean
Chile,6.476,1.131,1.331,0.808,0.431,0.061,0.197,2018,Latin America and Caribbean
Taiwan,6.441,1.365,1.436,0.857,0.418,0.078,0.151,2018,NA
Panama,6.43,1.112,1.438,0.759,0.597,0.063,0.125,2018,Latin America and Caribbean
Brazil,6.419,0.986,1.474,0.675,0.493,0.088,0.11,2018,Latin America and Caribbean
Argentina,6.388,1.073,1.468,0.744,0.57,0.054,0.062,2018,Latin America and Caribbean
Guatemala,6.382,0.781,1.268,0.608,0.604,0.071,0.179,2018,Latin America and Caribbean
Uruguay,6.379,1.093,1.459,0.771,0.625,0.155,0.13,2018,Latin America and Caribbean
Qatar,6.374,1.649,1.303,0.748,0.654,0.171,0.256,2018,NA
Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.127,0.098,2018,Middle East and North Africa
Singapore,6.343,1.529,1.451,1.008,0.631,0.457,0.261,2018,Southeast Asia
Malaysia,6.322,1.161,1.258,0.669,0.356,0.059,0.311,2018,Southeast Asia
Spain,6.31,1.251,1.538,0.965,0.449,0.074,0.142,2018,Western Europe
Colombia,6.26,0.96,1.439,0.635,0.531,0.039,0.099,2018,Latin America and Caribbean
Trinidad & Tobago,6.192,1.223,1.492,0.564,0.575,0.019,0.171,2018,NA
Slovakia,6.173,1.21,1.537,0.776,0.354,0.014,0.118,2018,Central and Eastern Europe
El Salvador,6.167,0.806,1.231,0.639,0.461,0.082,0.065,2018,Latin America and Caribbean
Nicaragua,6.141,0.668,1.319,0.7,0.527,0.128,0.208,2018,Latin America and Caribbean
Poland,6.123,1.176,1.448,0.781,0.546,0.064,0.108,2018,Central and Eastern Europe
Bahrain,6.105,1.338,1.366,0.698,0.594,0.123,0.243,2018,Middle East and North Africa
Uzbekistan,6.096,0.719,1.584,0.605,0.724,0.259,0.328,2018,Commonwealth of Independent States
Kuwait,6.083,1.474,1.301,0.675,0.554,0.106,0.167,2018,Middle East and North Africa
Thailand,6.072,1.016,1.417,0.707,0.637,0.029,0.364,2018,Southeast Asia
Italy,6,1.264,1.501,0.946,0.281,0.028,0.137,2018,Western Europe
Ecuador,5.973,0.889,1.33,0.736,0.556,0.12,0.114,2018,Latin America and Caribbean
Belize,5.956,0.807,1.101,0.474,0.593,0.089,0.183,2018,NA
Lithuania,5.952,1.197,1.527,0.716,0.35,0.006,0.026,2018,Central and Eastern Europe
Slovenia,5.948,1.219,1.506,0.856,0.633,0.051,0.16,2018,Central and Eastern Europe
Romania,5.945,1.116,1.219,0.726,0.528,0.001,0.088,2018,Central and Eastern Europe
Latvia,5.933,1.148,1.454,0.671,0.363,0.066,0.092,2018,Central and Eastern Europe
Japan,5.915,1.294,1.462,0.988,0.553,0.15,0.079,2018,East Asia
Mauritius,5.891,1.09,1.387,0.684,0.584,0.05,0.245,2018,Sub-Saharan Africa
Jamaica,5.89,0.819,1.493,0.693,0.575,0.031,0.096,2018,Latin America and Caribbean
South Korea,5.875,1.266,1.204,0.955,0.244,0.051,0.175,2018,East Asia
Northern Cyprus,5.835,1.229,1.211,0.909,0.495,0.154,0.179,2018,NA
Russia,5.81,1.151,1.479,0.599,0.399,0.025,0.065,2018,Commonwealth of Independent States
Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.121,0.148,2018,Commonwealth of Independent States
Cyprus,5.762,1.229,1.191,0.909,0.423,0.035,0.202,2018,Western Europe
Bolivia,5.752,0.751,1.223,0.508,0.606,0.054,0.141,2018,Latin America and Caribbean
Estonia,5.739,1.2,1.532,0.737,0.553,0.174,0.086,2018,Central and Eastern Europe
Paraguay,5.681,0.835,1.522,0.615,0.541,0.074,0.162,2018,Latin America and Caribbean
Peru,5.663,0.934,1.249,0.674,0.53,0.034,0.092,2018,Latin America and Caribbean
Kosovo,5.662,0.855,1.23,0.578,0.448,0.023,0.274,2018,Central and Eastern Europe
Moldova,5.64,0.657,1.301,0.62,0.232,0,0.171,2018,Commonwealth of Independent States
Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.037,0.199,2018,Commonwealth of Independent States
Hungary,5.62,1.171,1.401,0.732,0.259,0.022,0.061,2018,Central and Eastern Europe
Libya,5.566,0.985,1.35,0.553,0.496,0.148,0.116,2018,Middle East and North Africa
Philippines,5.524,0.775,1.312,0.513,0.643,0.105,0.12,2018,Southeast Asia
Honduras,5.504,0.62,1.205,0.622,0.459,0.074,0.197,2018,Latin America and Caribbean
Belarus,5.483,1.039,1.498,0.7,0.307,0.154,0.101,2018,Commonwealth of Independent States
Turkey,5.483,1.148,1.38,0.686,0.324,0.109,0.106,2018,Middle East and North Africa
Pakistan,5.472,0.652,0.81,0.424,0.334,0.113,0.216,2018,South Asia
Hong Kong,5.43,1.405,1.29,1.03,0.524,0.291,0.246,2018,NA
Portugal,5.41,1.188,1.429,0.884,0.562,0.017,0.055,2018,Western Europe
Serbia,5.398,0.975,1.369,0.685,0.288,0.043,0.134,2018,Central and Eastern Europe
Greece,5.358,1.154,1.202,0.879,0.131,0.044,0,2018,Western Europe
Lebanon,5.358,0.965,1.179,0.785,0.503,0.136,0.214,2018,Middle East and North Africa
Montenegro,5.347,1.017,1.279,0.729,0.259,0.081,0.111,2018,Central and Eastern Europe
Croatia,5.321,1.115,1.161,0.737,0.38,0.039,0.12,2018,Central and Eastern Europe
Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.106,0.12,2018,Latin America and Caribbean
Algeria,5.295,0.979,1.154,0.687,0.077,0.135,0.055,2018,Middle East and North Africa
Morocco,5.254,0.779,0.797,0.669,0.46,0.074,0.026,2018,Middle East and North Africa
China,5.246,0.989,1.142,0.799,0.597,0.103,0.029,2018,East Asia
Azerbaijan,5.201,1.024,1.161,0.603,0.43,0.176,0.031,2018,Commonwealth of Independent States
Tajikistan,5.199,0.474,1.166,0.598,0.292,0.034,0.187,2018,Commonwealth of Independent States
Macedonia,5.185,0.959,1.239,0.691,0.394,0.052,0.173,2018,NA
Jordan,5.161,0.822,1.265,0.645,0.468,0.134,0.13,2018,Middle East and North Africa
Nigeria,5.155,0.689,1.172,0.048,0.462,0.032,0.201,2018,Sub-Saharan Africa
Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.035,0.281,2018,Commonwealth of Independent States
Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0,0.216,2018,Central and Eastern Europe
Mongolia,5.125,0.914,1.517,0.575,0.395,0.032,0.253,2018,East Asia
Vietnam,5.103,0.715,1.365,0.702,0.618,0.079,0.177,2018,Southeast Asia
Indonesia,5.093,0.899,1.215,0.522,0.538,0.018,0.484,2018,Southeast Asia
Bhutan,5.082,0.796,1.335,0.527,0.541,0.171,0.364,2018,NA
Somalia,4.982,0,0.712,0.115,0.674,0.282,0.238,2018,NA
Cameroon,4.975,0.535,0.891,0.182,0.454,0.043,0.183,2018,Sub-Saharan Africa
Bulgaria,4.933,1.054,1.515,0.712,0.359,0.009,0.064,2018,Central and Eastern Europe
Nepal,4.88,0.425,1.228,0.539,0.526,0.078,0.302,2018,South Asia
Venezuela,4.806,0.996,1.469,0.657,0.133,0.052,0.056,2018,Latin America and Caribbean
Gabon,4.758,1.036,1.164,0.404,0.356,0.052,0.032,2018,Sub-Saharan Africa
Palestinian Territories,4.743,0.642,1.217,0.602,0.266,0.076,0.086,2018,Middle East and North Africa
South Africa,4.724,0.94,1.41,0.33,0.516,0.056,0.103,2018,Sub-Saharan Africa
Iran,4.707,1.059,0.771,0.691,0.459,0.129,0.282,2018,Middle East and North Africa
Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.103,0.146,2018,Sub-Saharan Africa
Ghana,4.657,0.592,0.896,0.337,0.499,0.029,0.212,2018,Sub-Saharan Africa
Senegal,4.631,0.429,1.117,0.433,0.406,0.082,0.138,2018,Sub-Saharan Africa
Laos,4.623,0.72,1.034,0.441,0.626,0.174,0.23,2018,Southeast Asia
Tunisia,4.592,0.9,0.906,0.69,0.271,0.063,0.04,2018,Middle East and North Africa
Albania,4.586,0.916,0.817,0.79,0.419,0.032,0.149,2018,Central and Eastern Europe
Sierra Leone,4.571,0.256,0.813,0,0.355,0.053,0.238,2018,Sub-Saharan Africa
Congo (Brazzaville),4.559,0.682,0.811,0.343,0.514,0.077,0.091,2018,Sub-Saharan Africa
Bangladesh,4.5,0.532,0.85,0.579,0.58,0.144,0.153,2018,South Asia
Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.05,0.307,2018,South Asia
Iraq,4.456,1.01,0.971,0.536,0.304,0.095,0.148,2018,Middle East and North Africa
Mali,4.447,0.37,1.233,0.152,0.367,0.056,0.139,2018,Sub-Saharan Africa
Namibia,4.441,0.874,1.281,0.365,0.519,0.064,0.051,2018,Sub-Saharan Africa
Cambodia,4.433,0.549,1.088,0.457,0.696,0.065,0.256,2018,Southeast Asia
Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.128,0.175,2018,Sub-Saharan Africa
Egypt,4.419,0.885,1.025,0.553,0.312,0.107,0.092,2018,Middle East and North Africa
Mozambique,4.417,0.198,0.902,0.173,0.531,0.158,0.206,2018,Sub-Saharan Africa
Kenya,4.41,0.493,1.048,0.454,0.504,0.055,0.352,2018,Sub-Saharan Africa
Zambia,4.377,0.562,1.047,0.295,0.503,0.082,0.221,2018,Sub-Saharan Africa
Mauritania,4.356,0.557,1.245,0.292,0.129,0.093,0.134,2018,Sub-Saharan Africa
Ethiopia,4.35,0.308,0.95,0.391,0.452,0.146,0.22,2018,Sub-Saharan Africa
Georgia,4.34,0.853,0.592,0.643,0.375,0.215,0.038,2018,Commonwealth of Independent States
Armenia,4.321,0.816,0.99,0.666,0.26,0.028,0.077,2018,Commonwealth of Independent States
Myanmar,4.308,0.682,1.174,0.429,0.58,0.178,0.598,2018,Southeast Asia
Chad,4.301,0.358,0.907,0.053,0.189,0.06,0.181,2018,Sub-Saharan Africa
Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.052,0.197,2018,NA
India,4.19,0.721,0.747,0.485,0.539,0.093,0.172,2018,South Asia
Niger,4.166,0.131,0.867,0.221,0.39,0.099,0.175,2018,Sub-Saharan Africa
Uganda,4.161,0.322,1.09,0.237,0.45,0.061,0.259,2018,Sub-Saharan Africa
Benin,4.141,0.378,0.372,0.24,0.44,0.067,0.163,2018,Sub-Saharan Africa
Sudan,4.139,0.605,1.24,0.312,0.016,0.082,0.134,2018,NA
Ukraine,4.103,0.793,1.413,0.609,0.163,0.011,0.187,2018,Commonwealth of Independent States
Togo,3.999,0.259,0.474,0.253,0.434,0.101,0.158,2018,Sub-Saharan Africa
Guinea,3.964,0.344,0.792,0.211,0.394,0.094,0.185,2018,Sub-Saharan Africa
Lesotho,3.808,0.472,1.215,0.079,0.423,0.112,0.116,2018,Sub-Saharan Africa
Angola,3.795,0.73,1.125,0.269,0,0.061,0.079,2018,NA
Madagascar,3.774,0.262,0.908,0.402,0.221,0.049,0.155,2018,Sub-Saharan Africa
Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.099,0.132,2018,Sub-Saharan Africa
Afghanistan,3.632,0.332,0.537,0.255,0.085,0.036,0.191,2018,South Asia
Botswana,3.59,1.017,1.174,0.417,0.557,0.092,0.042,2018,Sub-Saharan Africa
Malawi,3.587,0.186,0.541,0.306,0.531,0.08,0.21,2018,Sub-Saharan Africa
Haiti,3.582,0.315,0.714,0.289,0.025,0.104,0.392,2018,Latin America and Caribbean
Liberia,3.495,0.076,0.858,0.267,0.419,0.03,0.206,2018,Sub-Saharan Africa
Syria,3.462,0.689,0.382,0.539,0.088,0.144,0.376,2018,NA
Rwanda,3.408,0.332,0.896,0.4,0.636,0.444,0.2,2018,Sub-Saharan Africa
Yemen,3.355,0.442,1.073,0.343,0.244,0.064,0.083,2018,Middle East and North Africa
Tanzania,3.303,0.455,0.991,0.381,0.481,0.097,0.27,2018,Sub-Saharan Africa
South Sudan,3.254,0.337,0.608,0.177,0.112,0.106,0.224,2018,NA
Central African Republic,3.083,0.024,0,0.01,0.305,0.038,0.218,2018,NA
Burundi,2.905,0.091,0.627,0.145,0.065,0.076,0.149,2018,Sub-Saharan Africa
Finland,7.769,1.34,1.587,0.986,0.596,0.393,0.153,2019,Western Europe
Denmark,7.6,1.383,1.573,0.996,0.592,0.41,0.252,2019,Western Europe
Norway,7.554,1.488,1.582,1.028,0.603,0.341,0.271,2019,Western Europe
Iceland,7.494,1.38,1.624,1.026,0.591,0.118,0.354,2019,Western Europe
Netherlands,7.488,1.396,1.522,0.999,0.557,0.298,0.322,2019,Western Europe
Switzerland,7.48,1.452,1.526,1.052,0.572,0.343,0.263,2019,Western Europe
Sweden,7.343,1.387,1.487,1.009,0.574,0.373,0.267,2019,Western Europe
New Zealand,7.307,1.303,1.557,1.026,0.585,0.38,0.33,2019,North America and ANZ
Canada,7.278,1.365,1.505,1.039,0.584,0.308,0.285,2019,North America and ANZ
Austria,7.246,1.376,1.475,1.016,0.532,0.226,0.244,2019,Western Europe
Australia,7.228,1.372,1.548,1.036,0.557,0.29,0.332,2019,North America and ANZ
Costa Rica,7.167,1.034,1.441,0.963,0.558,0.093,0.144,2019,Latin America and Caribbean
Israel,7.139,1.276,1.455,1.029,0.371,0.082,0.261,2019,Middle East and North Africa
Luxembourg,7.09,1.609,1.479,1.012,0.526,0.316,0.194,2019,Western Europe
United Kingdom,7.054,1.333,1.538,0.996,0.45,0.278,0.348,2019,Western Europe
Ireland,7.021,1.499,1.553,0.999,0.516,0.31,0.298,2019,Western Europe
Germany,6.985,1.373,1.454,0.987,0.495,0.265,0.261,2019,Western Europe
Belgium,6.923,1.356,1.504,0.986,0.473,0.21,0.16,2019,Western Europe
United States,6.892,1.433,1.457,0.874,0.454,0.128,0.28,2019,North America and ANZ
Czech Republic,6.852,1.269,1.487,0.92,0.457,0.036,0.046,2019,Central and Eastern Europe
United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.182,0.262,2019,Middle East and North Africa
Malta,6.726,1.3,1.52,0.999,0.564,0.151,0.375,2019,Western Europe
Mexico,6.595,1.07,1.323,0.861,0.433,0.073,0.074,2019,Latin America and Caribbean
France,6.592,1.324,1.472,1.045,0.436,0.183,0.111,2019,Western Europe
Taiwan,6.446,1.368,1.43,0.914,0.351,0.097,0.242,2019,NA
Chile,6.444,1.159,1.369,0.92,0.357,0.056,0.187,2019,Latin America and Caribbean
Guatemala,6.436,0.8,1.269,0.746,0.535,0.078,0.175,2019,Latin America and Caribbean
Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.132,0.08,2019,Middle East and North Africa
Qatar,6.374,1.684,1.313,0.871,0.555,0.167,0.22,2019,NA
Spain,6.354,1.286,1.484,1.062,0.362,0.079,0.153,2019,Western Europe
Panama,6.321,1.149,1.442,0.91,0.516,0.054,0.109,2019,Latin America and Caribbean
Brazil,6.3,1.004,1.439,0.802,0.39,0.086,0.099,2019,Latin America and Caribbean
Uruguay,6.293,1.124,1.465,0.891,0.523,0.15,0.127,2019,Latin America and Caribbean
Singapore,6.262,1.572,1.463,1.141,0.556,0.453,0.271,2019,Southeast Asia
El Salvador,6.253,0.794,1.242,0.789,0.43,0.074,0.093,2019,Latin America and Caribbean
Italy,6.223,1.294,1.488,1.039,0.231,0.03,0.158,2019,Western Europe
Bahrain,6.199,1.362,1.368,0.871,0.536,0.11,0.255,2019,Middle East and North Africa
Slovakia,6.198,1.246,1.504,0.881,0.334,0.014,0.121,2019,Central and Eastern Europe
Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.016,0.185,2019,NA
Poland,6.182,1.206,1.438,0.884,0.483,0.05,0.117,2019,Central and Eastern Europe
Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.24,0.322,2019,Commonwealth of Independent States
Lithuania,6.149,1.238,1.515,0.818,0.291,0.042,0.043,2019,Central and Eastern Europe
Colombia,6.125,0.985,1.41,0.841,0.47,0.034,0.099,2019,Latin America and Caribbean
Slovenia,6.118,1.258,1.523,0.953,0.564,0.057,0.144,2019,Central and Eastern Europe
Nicaragua,6.105,0.694,1.325,0.835,0.435,0.127,0.2,2019,Latin America and Caribbean
Kosovo,6.1,0.882,1.232,0.758,0.489,0.006,0.262,2019,Central and Eastern Europe
Argentina,6.086,1.092,1.432,0.881,0.471,0.05,0.066,2019,Latin America and Caribbean
Romania,6.07,1.162,1.232,0.825,0.462,0.005,0.083,2019,Central and Eastern Europe
Cyprus,6.046,1.263,1.223,1.042,0.406,0.041,0.19,2019,Western Europe
Ecuador,6.028,0.912,1.312,0.868,0.498,0.087,0.126,2019,Latin America and Caribbean
Kuwait,6.021,1.5,1.319,0.808,0.493,0.097,0.142,2019,Middle East and North Africa
Thailand,6.008,1.05,1.409,0.828,0.557,0.028,0.359,2019,Southeast Asia
Latvia,5.94,1.187,1.465,0.812,0.264,0.064,0.075,2019,Central and Eastern Europe
South Korea,5.895,1.301,1.219,1.036,0.159,0.056,0.175,2019,East Asia
Estonia,5.893,1.237,1.528,0.874,0.495,0.161,0.103,2019,Central and Eastern Europe
Jamaica,5.89,0.831,1.478,0.831,0.49,0.028,0.107,2019,Latin America and Caribbean
Mauritius,5.888,1.12,1.402,0.798,0.498,0.06,0.215,2019,Sub-Saharan Africa
Japan,5.886,1.327,1.419,1.088,0.445,0.14,0.069,2019,East Asia
Honduras,5.86,0.642,1.236,0.828,0.507,0.078,0.246,2019,Latin America and Caribbean
Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.096,0.146,2019,Commonwealth of Independent States
Bolivia,5.779,0.776,1.209,0.706,0.511,0.064,0.137,2019,Latin America and Caribbean
Hungary,5.758,1.201,1.41,0.828,0.199,0.02,0.081,2019,Central and Eastern Europe
Paraguay,5.743,0.855,1.475,0.777,0.514,0.08,0.184,2019,Latin America and Caribbean
Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.162,0.191,2019,NA
Peru,5.697,0.96,1.274,0.854,0.455,0.027,0.083,2019,Latin America and Caribbean
Portugal,5.693,1.221,1.431,0.999,0.508,0.025,0.047,2019,Western Europe
Pakistan,5.653,0.677,0.886,0.535,0.313,0.098,0.22,2019,South Asia
Russia,5.648,1.183,1.452,0.726,0.334,0.031,0.082,2019,Commonwealth of Independent States
Philippines,5.631,0.807,1.293,0.657,0.558,0.107,0.117,2019,Southeast Asia
Serbia,5.603,1.004,1.383,0.854,0.282,0.039,0.137,2019,Central and Eastern Europe
Moldova,5.529,0.685,1.328,0.739,0.245,0,0.181,2019,Commonwealth of Independent States
Libya,5.525,1.044,1.303,0.673,0.416,0.152,0.133,2019,Middle East and North Africa
Montenegro,5.523,1.051,1.361,0.871,0.197,0.08,0.142,2019,Central and Eastern Europe
Tajikistan,5.467,0.493,1.098,0.718,0.389,0.144,0.23,2019,Commonwealth of Independent States
Croatia,5.432,1.155,1.266,0.914,0.296,0.022,0.119,2019,Central and Eastern Europe
Hong Kong,5.43,1.438,1.277,1.122,0.44,0.287,0.258,2019,NA
Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.101,0.113,2019,Latin America and Caribbean
Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.006,0.263,2019,Central and Eastern Europe
Turkey,5.373,1.183,1.36,0.808,0.195,0.106,0.083,2019,Middle East and North Africa
Malaysia,5.339,1.221,1.171,0.828,0.508,0.024,0.26,2019,Southeast Asia
Belarus,5.323,1.067,1.465,0.789,0.235,0.142,0.094,2019,Commonwealth of Independent States
Greece,5.287,1.181,1.156,0.999,0.067,0.034,0,2019,Western Europe
Mongolia,5.285,0.948,1.531,0.667,0.317,0.038,0.235,2019,East Asia
North Macedonia,5.274,0.983,1.294,0.838,0.345,0.034,0.185,2019,Central and Eastern Europe
Nigeria,5.265,0.696,1.111,0.245,0.426,0.041,0.215,2019,Sub-Saharan Africa
Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.023,0.3,2019,Commonwealth of Independent States
Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.028,0.244,2019,Commonwealth of Independent States
Algeria,5.211,1.002,1.16,0.785,0.086,0.114,0.073,2019,Middle East and North Africa
Morocco,5.208,0.801,0.782,0.782,0.418,0.076,0.036,2019,Middle East and North Africa
Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.182,0.035,2019,Commonwealth of Independent States
Lebanon,5.197,0.987,1.224,0.815,0.216,0.027,0.166,2019,Middle East and North Africa
Indonesia,5.192,0.931,1.203,0.66,0.491,0.028,0.498,2019,Southeast Asia
China,5.191,1.029,1.125,0.893,0.521,0.1,0.058,2019,East Asia
Vietnam,5.175,0.741,1.346,0.851,0.543,0.073,0.147,2019,Southeast Asia
